x,y,z
0,0,20
0,1,26
0,2,41
0,3,22
0,4,23
0,5,23
0,6,34
0,7,20
0,8,19
0,9,6
0,10,18
0,11,23
0,12,29
0,13,33
0,14,20
0,15,2
0,16,18
0,17,18
0,18,19
0,19,43
0,20,34
0,21,20
0,22,16
0,23,19
0,24,18
0,25,23
0,26,18
0,27,14
0,28,20
0,29,24
1,0,25
1,1,44
1,2,32
1,3,26
1,4,24
1,5,21
1,6,19
1,7,12
1,8,0
1,9,12
1,10,17
1,11,35
1,12,49
1,13,12
1,14,13
1,15,10
1,16,5
1,17,5
1,18,39
1,19,5
1,20,42
1,21,44
1,22,16
1,23,44
1,24,40
1,25,26
1,26,39
1,27,33
1,28,38
1,29,13
2,0,27
2,1,35
2,2,28
2,3,26
2,4,34
2,5,6
2,6,10
2,7,12
2,8,9
2,9,22
2,10,27
2,11,31
2,12,27
2,13,5
2,14,13
2,15,6
2,16,0
2,17,0
2,18,44
2,19,42
2,20,41
2,21,42
2,22,41
2,23,43
2,24,44
2,25,42
2,26,48
2,27,42
2,28,24
2,29,20
3,0,27
3,1,20
3,2,14
3,3,17
3,4,40
3,5,23
3,6,13
3,7,9
3,8,29
3,9,47
3,10,16
3,11,22
3,12,23
3,13,31
3,14,20
3,15,0
3,16,4
3,17,13
3,18,44
3,19,44
3,20,42
3,21,42
3,22,43
3,23,43
3,24,44
3,25,23
3,26,38
3,27,7
3,28,29
3,29,4
4,0,16
4,1,16
4,2,0
4,3,15
4,4,17
4,5,12
4,6,8
4,7,38
4,8,35
4,9,46
4,10,23
4,11,14
4,12,22
4,13,32
4,14,11
4,15,0
4,16,2
4,17,44
4,18,41
4,19,46
4,20,42
4,21,46
4,22,46
4,23,44
4,24,41
4,25,18
4,26,28
4,27,20
4,28,24
4,29,12
5,0,38
5,1,3
5,2,8
5,3,0
5,4,15
5,5,22
5,6,14
5,7,34
5,8,24
5,9,30
5,10,27
5,11,3
5,12,9
5,13,10
5,14,12
5,15,0
5,16,31
5,17,35
5,18,40
5,19,44
5,20,42
5,21,43
5,22,41
5,23,20
5,24,13
5,25,14
5,26,8
5,27,15
5,28,19
5,29,9
6,0,34
6,1,4
6,2,3
6,3,18
6,4,14
6,5,49
6,6,33
6,7,10
6,8,16
6,9,29
6,10,20
6,11,7
6,12,0
6,13,6
6,14,3
6,15,25
6,16,33
6,17,26
6,18,14
6,19,35
6,20,42
6,21,42
6,22,40
6,23,25
6,24,29
6,25,0
6,26,0
6,27,0
6,28,0
6,29,7
7,0,20
7,1,8
7,2,1
7,3,21
7,4,34
7,5,35
7,6,26
7,7,20
7,8,16
7,9,32
7,10,27
7,11,9
7,12,0
7,13,0
7,14,20
7,15,28
7,16,21
7,17,31
7,18,20
7,19,15
7,20,11
7,21,20
7,22,29
7,23,35
7,24,20
7,25,12
7,26,6
7,27,12
7,28,20
7,29,5
8,0,9
8,1,7
8,2,17
8,3,26
8,4,33
8,5,45
8,6,14
8,7,27
8,8,7
8,9,23
8,10,18
8,11,15
8,12,16
8,13,25
8,14,32
8,15,27
8,16,28
8,17,0
8,18,3
8,19,12
8,20,0
8,21,2
8,22,14
8,23,11
8,24,20
8,25,15
8,26,20
8,27,12
8,28,23
8,29,38
9,0,12
9,1,9
9,2,24
9,3,27
9,4,32
9,5,17
9,6,3
9,7,11
9,8,24
9,9,26
9,10,39
9,11,34
9,12,9
9,13,10
9,14,9
9,15,39
9,16,44
9,17,24
9,18,2
9,19,0
9,20,12
9,21,0
9,22,7
9,23,0
9,24,22
9,25,7
9,26,13
9,27,13
