x,y,z
0,0,20.0
0,1,16.0
0,2,30.0
0,3,27.0
0,4,22.0
0,5,2.0
0,6,19.0
0,7,20.0
0,8,5.0
0,9,23.0
0,10,15.0
0,11,13.0
0,12,22.0
0,13,29.0
0,14,20.0
0,15,0.0
0,16,0.0
0,17,22.0
0,18,33.0
0,19,21.0
0,20,12.0
0,21,20.0
0,22,23.0
0,23,6.0
0,24,22.0
0,25,29.0
0,26,35.0
0,27,24.0
0,28,20.0
0,29,24.0
1,0,32.0
1,1,17.0
1,2,20.0
1,3,12.0
1,4,11.0
1,5,16.0
1,6,6.0
1,7,0.0
1,8,0.0
1,9,9.0
1,10,23.0
1,11,6.0
1,12,30.0
1,13,37.0
1,14,26.0
1,15,15.0
1,16,0.0
1,17,0.0
1,18,5.0
1,19,4.0
1,20,20.0
1,21,22.0
1,22,10.0
1,23,3.0
1,24,14.0
1,25,23.0
1,26,38.0
1,27,36.0
1,28,27.0
1,29,37.0
2,0,29.0
2,1,17.0
2,2,33.0
2,3,14.0
2,4,11.0
2,5,0.0
2,6,5.0
2,7,0.0
2,8,0.0
2,9,8.0
2,10,14.0
2,11,20.0
2,12,11.0
2,13,26.0
2,14,34.0
2,15,21.0
2,16,14.0
2,17,20.0
2,18,28.0
2,19,7.0
2,20,12.0
2,21,17.0
2,22,11.0
2,23,16.0
2,24,16.0
2,25,9.0
2,26,8.0
2,27,18.0
2,28,26.0
2,29,42.0
3,0,27.0
3,1,30.0
3,2,6.0
3,3,17.0
3,4,25.0
3,5,22.0
3,6,24.0
3,7,8.0
3,8,0.0
3,9,21.0
3,10,25.0
3,11,20.0
3,12,16.0
3,13,9.0
3,14,26.0
3,15,16.0
3,16,26.0
3,17,29.0
3,18,19.0
3,19,6.0
3,20,22.0
3,21,10.0
3,22,14.0
3,23,14.0
3,24,24.0
3,25,23.0
3,26,0.0
3,27,1.0
3,28,25.0
3,29,23.0
4,0,3.0
4,1,23.0
4,2,8.0
4,3,11.0
4,4,3.0
4,5,46.0
4,6,30.0
4,7,25.0
4,8,47.0
4,9,9.0
4,10,9.0
4,11,11.0
4,12,0.0
4,13,6.0
4,14,21.0
4,15,28.0
4,16,29.0
4,17,21.0
4,18,7.0
4,19,21.0
4,20,15.0
4,21,19.0
4,22,5.0
4,23,19.0
4,24,12.0
4,25,16.0
4,26,0.0
4,27,0.0
4,28,24.0
4,29,32.0
5,0,0.0
5,1,0.0
5,2,11.0
5,3,15.0
5,4,33.0
5,5,41.0
5,6,28.0
5,7,46.0
5,8,36.0
5,9,7.0
5,10,7.0
5,11,14.0
5,12,8.0
5,13,4.0
5,14,16.0
5,15,23.0
5,16,35.0
5,17,21.0
5,18,9.0
5,19,10.0
5,20,36.0
5,21,25.0
5,22,22.0
5,23,38.0
5,24,21.0
5,25,13.0
5,26,1.0
5,27,0.0
5,28,10.0
5,29,16.0
6,0,9.0
6,1,20.0
6,2,24.0
6,3,26.0
6,4,31.0
6,5,15.0
6,6,26.0
6,7,35.0
6,8,10.0
6,9,7.0
6,10,6.0
6,11,9.0
6,12,6.0
6,13,8.0
6,14,37.0
6,15,20.0
6,16,39.0
6,17,31.0
6,18,17.0
6,19,0.0
6,20,28.0
6,21,46.0
6,22,30.0
6,23,29.0
6,24,30.0
6,25,15.0
6,26,7.0
6,27,4.0
6,28,3.0
6,29,19.0
7,0,20.0
7,1,23.0
7,2,24.0
7,3,28.0
7,4,17.0
7,5,1.0
7,6,9.0
7,7,20.0
7,8,9.0
7,9,7.0
7,10,8.0
7,11,8.0
7,12,8.0
7,13,8.0
7,14,20.0
7,15,16.0
7,16,34.0
7,17,31.0
7,18,9.0
7,19,6.0
7,20,18.0
7,21,20.0
7,22,33.0
7,23,31.0
7,24,22.0
7,25,13.0
7,26,2.0
7,27,28.0
7,28,20.0
7,29,18.0
8,0,33.0
8,1,36.0
8,2,34.0
8,3,6.0
8,4,17.0
8,5,25.0
8,6,18.0
8,7,4.0
8,8,9.0
8,9,6.0
8,10,9.0
8,11,11.0
8,12,8.0
8,13,10.0
8,14,8.0
8,15,20.0
8,16,12.0
8,17,12.0
8,18,24.0
8,19,14.0
8,20,0.0
8,21,0.0
8,22,21.0
8,23,22.0
8,24,5.0
8,25,8.0
8,26,8.0
8,27,32.0
8,28,33.0
8,29,26.0
9,0,34.0
9,1,11.0
9,2,23.0
9,3,20.0
9,4,15.0
9,5,30.0
9,6,15.0
9,7,11.0
9,8,6.0
9,9,5.0
9,10,5.0
9,11,7.0
9,12,5.0
9,13,28.0
9,14,4.0
9,15,0.0
9,16,0.0
9,17,6.0
9,18,27.0
9,19,0.0
9,20,0.0
9,21,0.0
9,22,12.0
9,23,29.0
9,24,13.0
9,25,8.0
9,26,0.0
9,27,16.0
9,28,25.0
9,29,24.0
10,0,31.0
10,1,12.0
10,2,0.0
10,3,7.0
10,4,26.0
10,5,31.0
10,6,20.0
10,7,18.0
10,8,20.0
10,9,11.0
10,10,6.0
10,11,7.0
10,12,9.0
10,13,42.0
10,14,38.0
10,15,37.0
10,16,39.0
10,17,6.0
10,18,30.0
10,19,11.0
10,20,1.0
10,21,14.0
10,22,26.0
10,23,35.0
10,24,12.0
10,25,7.0
10,26,1.0
10,27,0.0
10,28,8.0
10,29,23.0
11,0,24.0
11,1,0.0
11,2,14.0
11,3,3.0
11,4,40.0
11,5,29.0
11,6,39.0
11,7,16.0
11,8,19.0
11,9,7.0
11,10,23.0
11,11,12.0
11,12,36.0
11,13,29.0
11,14,41.0
11,15,41.0
11,16,40.0
11,17,38.0
11,18,40.0
11,19,38.0
11,20,21.0
11,21,32.0
11,22,33.0
11,23,50.0
11,24,21.0
11,25,26.0
11,26,0.0
11,27,14.0
11,28,20.0
11,29,32.0
12,0,13.0
12,1,0.0
12,2,0.0
12,3,11.0
12,4,29.0
12,5,25.0
12,6,35.0
12,7,5.0
12,8,0.0
12,9,20.0
12,10,24.0
12,11,11.0
12,12,38.0
12,13,16.0
12,14,39.0
12,15,40.0
12,16,38.0
12,17,41.0
12,18,42.0
12,19,31.0
12,20,26.0
12,21,32.0
12,22,37.0
12,23,48.0
12,24,50.0
12,25,44.0
12,26,26.0
12,27,23.0
12,28,12.0
12,29,23.0
13,0,9.0
13,1,2.0
13,2,0.0
13,3,1.0
13,4,23.0
13,5,19.0
13,6,16.0
13,7,7.0
13,8,25.0
13,9,24.0
13,10,37.0
13,11,27.0
13,12,18.0
13,13,41.0
13,14,39.0
13,15,38.0
13,16,41.0
13,17,40.0
13,18,39.0
13,19,39.0
13,20,40.0
13,21,18.0
13,22,29.0
13,23,32.0
13,24,36.0
13,25,23.0
13,26,36.0
13,27,18.0
13,28,19.0
13,29,13.0
14,0,20.0
14,1,28.0
14,2,20.0
14,3,10.0
14,4,31.0
14,5,24.0
14,6,19.0
14,7,20.0
14,8,11.0
14,9,15.0
14,10,25.0
14,11,25.0
14,12,11.0
14,13,38.0
14,14,37.0
14,15,43.0
14,16,39.0
14,17,38.0
14,18,40.0
14,19,40.0
14,20,31.0
14,21,20.0
14,22,4.0
14,23,9.0
14,24,14.0
14,25,24.0
14,26,27.0
14,27,31.0
14,28,20.0
14,29,13.0
15,0,37.0
15,1,36.0
15,2,27.0
15,3,32.0
15,4,38.0
15,5,50.0
15,6,23.0
15,7,42.0
15,8,20.0
15,9,14.0
15,10,0.0
15,11,3.0
15,12,18.0
15,13,24.0
15,14,39.0
15,15,39.0
15,16,38.0
15,17,38.0
15,18,21.0
15,19,12.0
15,20,19.0
15,21,11.0
15,22,14.0
15,23,0.0
15,24,0.0
15,25,3.0
15,26,17.0
15,27,21.0
15,28,25.0
15,29,0.0
16,0,40.0
16,1,50.0
16,2,44.0
16,3,35.0
16,4,22.0
16,5,31.0
16,6,42.0
16,7,42.0
16,8,49.0
