x,y,z
0,0,20
0,1,26
0,2,21
0,3,31
0,4,13
0,5,5
0,6,4
0,7,20
0,8,46
0,9,40
0,10,23
0,11,16
0,12,19
0,13,36
0,14,20
0,15,14
0,16,23
0,17,25
0,18,19
0,19,9
0,20,16
0,21,20
0,22,11
0,23,27
0,24,26
0,25,26
0,26,34
0,27,32
0,28,20
0,29,1
1,0,22
1,1,8
1,2,16
1,3,19
1,4,0
1,5,0
1,6,8
1,7,23
1,8,44
1,9,32
1,10,20
1,11,11
1,12,23
1,13,23
1,14,14
1,15,17
1,16,22
1,17,17
1,18,15
1,19,2
1,20,5
1,21,20
1,22,21
1,23,3
1,24,21
1,25,0
1,26,30
1,27,23
1,28,22
1,29,1
2,0,23
2,1,17
2,2,24
2,3,6
2,4,0
2,5,0
2,6,11
2,7,32
2,8,46
2,9,26
2,10,3
2,11,8
2,12,5
2,13,13
2,14,8
2,15,0
2,16,3
2,17,29
2,18,16
2,19,32
2,20,16
2,21,3
2,22,0
2,23,0
2,24,6
2,25,0
2,26,0
2,27,23
2,28,17
2,29,8
3,0,7
3,1,13
3,2,36
3,3,34
3,4,1
3,5,0
3,6,11
3,7,35
3,8,23
3,9,20
3,10,1
3,11,25
3,12,2
3,13,16
3,14,9
3,15,8
3,16,1
3,17,35
3,18,44
3,19,42
3,20,38
3,21,26
3,22,15
3,23,18
3,24,23
3,25,0
3,26,7
3,27,11
3,28,24
3,29,0
4,0,21
4,1,28
4,2,40
4,3,30
4,4,17
4,5,0
4,6,4
4,7,6
4,8,16
4,9,11
4,10,19
4,11,11
4,12,24
4,13,26
4,14,12
4,15,0
4,16,6
4,17,1
4,18,0
4,19,25
4,20,29
4,21,11
4,22,7
4,23,20
4,24,21
4,25,15
4,26,13
4,27,18
4,28,15
4,29,0
5,0,28
5,1,44
5,2,50
5,3,50
5,4,16
5,5,19
5,6,0
5,7,0
5,8,11
5,9,9
5,10,31
5,11,39
5,12,37
5,13,29
5,14,32
5,15,33
5,16,7
5,17,4
5,18,11
5,19,35
5,20,40
5,21,28
5,22,29
5,23,27
5,24,32
5,25,21
5,26,13
5,27,27
5,28,10
5,29,3
6,0,38
6,1,43
6,2,48
6,3,29
6,4,23
6,5,9
6,6,0
6,7,16
6,8,10
6,9,17
6,10,23
6,11,18
6,12,25
6,13,15
6,14,24
6,15,24
6,16,12
6,17,2
6,18,15
6,19,16
6,20,14
6,21,44
6,22,43
6,23,30
6,24,30
6,25,11
6,26,17
6,27,17
6,28,0
6,29,0
7,0,20
7,1,40
7,2,30
7,3,22
7,4,23
7,5,11
7,6,20
7,7,20
7,8,16
7,9,13
7,10,9
7,11,21
7,12,15
7,13,14
7,14,20
7,15,20
7,16,21
7,17,0
7,18,32
7,19,20
7,20,12
7,21,20
7,22,29
7,23,34
7,24,28
7,25,28
7,26,28
7,27,32
7,28,20
7,29,19
8,0,27
8,1,31
8,2,11
8,3,10
8,4,5
8,5,0
8,6,10
8,7,29
8,8,12
8,9,20
8,10,22
8,11,30
8,12,16
8,13,11
8,14,32
8,15,37
8,16,8
8,17,21
8,18,7
8,19,24
8,20,0
8,21,13
8,22,31
8,23,41
8,24,47
8,25,36
8,26,38
8,27,36
8,28,24
8,29,20
9,0,14
9,1,33
9,2,18
9,3,0
9,4,0
9,5,0
9,6,19
9,7,12
9,8,11
9,9,2
9,10,2
9,11,23
9,12,33
9,13,40
9,14,24
9,15,26
9,16,25
9,17,9
9,18,18
9,19,19
9,20,0
9,21,18
9,22,23
9,23,37
9,24,32
9,25,43
9,26,26
9,27,35
