x,y,z
0,0,20.0
0,1,0.0
0,2,20.0
0,3,21.0
0,4,20.0
0,5,29.0
0,6,20.0
0,7,30.0
0,8,20.0
0,9,3.0
0,10,20.0
0,11,13.0
0,12,20.0
0,13,29.0
0,14,20.0
0,15,29.0
0,16,20.0
0,17,13.0
0,18,20.0
0,19,21.0
0,20,20.0
0,21,5.0
0,22,20.0
0,23,33.0
0,24,20.0
0,25,23.0
0,26,20.0
0,27,41.0
0,28,20.0
0,29,18.0
1,0,17.0
1,1,36.0
1,2,50.0
1,3,23.0
1,4,28.0
1,5,43.0
1,6,33.0
1,7,36.0
1,8,29.0
1,9,5.0
1,10,0.0
1,11,36.0
1,12,42.0
1,13,36.0
1,14,32.0
1,15,31.0
1,16,19.0
1,17,4.0
1,18,0.0
1,19,0.0
1,20,14.0
1,21,39.0
1,22,33.0
1,23,12.0
1,24,22.0
1,25,23.0
1,26,36.0
1,27,33.0
1,28,31.0
1,29,14.0
2,0,20.0
2,1,24.0
2,2,20.0
2,3,2.0
2,4,20.0
2,5,4.0
2,6,20.0
2,7,8.0
2,8,20.0
2,9,37.0
2,10,20.0
2,11,45.0
2,12,20.0
2,13,24.0
2,14,20.0
2,15,20.0
2,16,20.0
2,17,32.0
2,18,20.0
2,19,1.0
2,20,20.0
2,21,37.0
2,22,20.0
2,23,0.0
2,24,20.0
2,25,28.0
2,26,20.0
2,27,12.0
2,28,20.0
2,29,6.0
3,0,2.0
3,1,0.0
3,2,7.0
3,3,10.0
3,4,20.0
3,5,23.0
3,6,27.0
3,7,0.0
3,8,0.0
3,9,38.0
3,10,35.0
3,11,40.0
3,12,4.0
3,13,0.0
3,14,22.0
3,15,6.0
3,16,28.0
3,17,15.0
3,18,37.0
3,19,12.0
3,20,13.0
3,21,21.0
3,22,5.0
3,23,25.0
3,24,42.0
3,25,49.0
3,26,2.0
3,27,0.0
3,28,26.0
3,29,6.0
4,0,20.0
4,1,3.0
4,2,20.0
4,3,27.0
4,4,20.0
4,5,33.0
4,6,20.0
4,7,2.0
4,8,20.0
4,9,46.0
4,10,20.0
4,11,25.0
4,12,20.0
4,13,8.0
4,14,20.0
4,15,5.0
4,16,20.0
4,17,0.0
4,18,20.0
4,19,20.0
4,20,20.0
4,21,30.0
4,22,20.0
4,23,2.0
4,24,20.0
4,25,28.0
4,26,20.0
4,27,12.0
4,28,20.0
4,29,36.0
5,0,28.0
5,1,0.0
5,2,29.0
5,3,34.0
5,4,22.0
5,5,41.0
5,6,35.0
5,7,40.0
5,8,30.0
5,9,50.0
5,10,10.0
5,11,0.0
5,12,12.0
5,13,29.0
5,14,36.0
5,15,24.0
5,16,5.0
5,17,0.0
5,18,19.0
5,19,41.0
5,20,50.0
5,21,41.0
5,22,13.0
5,23,23.0
5,24,13.0
5,25,15.0
5,26,14.0
5,27,14.0
5,28,27.0
5,29,24.0
6,0,20.0
6,1,1.0
6,2,20.0
6,3,27.0
6,4,20.0
6,5,20.0
6,6,20.0
6,7,0.0
6,8,20.0
6,9,45.0
6,10,20.0
6,11,0.0
6,12,20.0
6,13,21.0
6,14,20.0
6,15,13.0
6,16,20.0
6,17,39.0
6,18,20.0
6,19,12.0
6,20,20.0
6,21,0.0
6,22,20.0
6,23,31.0
6,24,20.0
6,25,17.0
6,26,20.0
6,27,13.0
6,28,20.0
6,29,5.0
7,0,26.0
7,1,16.0
7,2,50.0
7,3,12.0
7,4,22.0
7,5,32.0
7,6,28.0
7,7,8.0
7,8,6.0
7,9,33.0
7,10,45.0
7,11,26.0
7,12,19.0
7,13,11.0
7,14,14.0
7,15,0.0
7,16,15.0
7,17,50.0
7,18,10.0
7,19,0.0
7,20,24.0
7,21,0.0
7,22,10.0
7,23,22.0
7,24,27.0
7,25,19.0
7,26,0.0
7,27,17.0
7,28,36.0
7,29,2.0
8,0,20.0
8,1,44.0
8,2,20.0
8,3,0.0
8,4,20.0
8,5,47.0
8,6,20.0
8,7,4.0
8,8,20.0
8,9,15.0
8,10,20.0
8,11,17.0
8,12,20.0
8,13,11.0
8,14,20.0
8,15,0.0
8,16,20.0
8,17,28.0
8,18,20.0
8,19,0.0
8,20,20.0
8,21,28.0
8,22,20.0
8,23,21.0
8,24,20.0
8,25,37.0
8,26,20.0
8,27,24.0
8,28,20.0
8,29,29.0
9,0,13.0
9,1,26.0
9,2,17.0
9,3,5.0
9,4,3.0
9,5,18.0
9,6,9.0
9,7,12.0
9,8,46.0
9,9,28.0
9,10,24.0
9,11,35.0
9,12,28.0
9,13,6.0
9,14,10.0
9,15,0.0
9,16,3.0
9,17,24.0
9,18,41.0
9,19,24.0
9,20,36.0
9,21,9.0
9,22,17.0
9,23,29.0
9,24,27.0
9,25,24.0
9,26,15.0
9,27,9.0
9,28,9.0
9,29,26.0
10,0,20.0
10,1,15.0
10,2,20.0
10,3,21.0
10,4,20.0
10,5,9.0
10,6,20.0
10,7,26.0
10,8,20.0
10,9,28.0
10,10,20.0
10,11,22.0
10,12,20.0
10,13,33.0
10,14,20.0
10,15,0.0
10,16,20.0
10,17,0.0
10,18,20.0
10,19,29.0
10,20,20.0
10,21,19.0
10,22,20.0
10,23,34.0
10,24,20.0
10,25,26.0
10,26,20.0
10,27,20.0
10,28,20.0
10,29,11.0
11,0,22.0
11,1,21.0
11,2,23.0
11,3,18.0
11,4,26.0
11,5,26.0
11,6,37.0
11,7,36.0
11,8,22.0
11,9,7.0
11,10,13.0
11,11,11.0
11,12,5.0
11,13,8.0
11,14,45.0
11,15,24.0
11,16,17.0
11,17,10.0
11,18,13.0
11,19,21.0
11,20,0.0
11,21,10.0
11,22,1.0
11,23,17.0
11,24,45.0
11,25,33.0
11,26,17.0
11,27,31.0
11,28,28.0
11,29,11.0
12,0,20.0
12,1,44.0
12,2,20.0
12,3,29.0
12,4,20.0
12,5,16.0
12,6,20.0
12,7,16.0
12,8,20.0
12,9,15.0
12,10,20.0
12,11,38.0
12,12,20.0
12,13,0.0
12,14,20.0
12,15,16.0
12,16,20.0
12,17,28.0
12,18,20.0
12,19,31.0
12,20,20.0
12,21,28.0
12,22,20.0
12,23,2.0
12,24,20.0
12,25,35.0
12,26,20.0
12,27,2.0
12,28,20.0
12,29,0.0
13,0,16.0
13,1,44.0
13,2,36.0
13,3,30.0
13,4,5.0
13,5,0.0
13,6,0.0
13,7,14.0
13,8,17.0
13,9,8.0
13,10,7.0
13,11,17.0
13,12,1.0
13,13,0.0
13,14,10.0
13,15,19.0
13,16,9.0
13,17,15.0
13,18,0.0
13,19,36.0
13,20,30.0
13,21,37.0
13,22,44.0
13,23,26.0
13,24,0.0
13,25,25.0
13,26,29.0
13,27,23.0
13,28,10.0
13,29,0.0
14,0,20.0
14,1,43.0
14,2,20.0
14,3,10.0
14,4,20.0
14,5,15.0
14,6,20.0
14,7,34.0
14,8,20.0
14,9,21.0
14,10,20.0
14,11,15.0
14,12,20.0
14,13,12.0
14,14,20.0
14,15,11.0
14,16,20.0
14,17,16.0
14,18,20.0
14,19,27.0
14,20,20.0
14,21,19.0
14,22,20.0
14,23,22.0
14,24,20.0
14,25,32.0
14,26,20.0
14,27,17.0
14,28,20.0
14,29,0.0
15,0,6.0
15,1,34.0
15,2,23.0
15,3,22.0
15,4,20.0
15,5,21.0
15,6,32.0
15,7,17.0
15,8,11.0
15,9,33.0
15,10,23.0
15,11,18.0
15,12,40.0
15,13,31.0
15,14,22.0
15,15,9.0
15,16,2.0
15,17,21.0
15,18,29.0
15,19,23.0
15,20,9.0
15,21,15.0
15,22,26.0
15,23,26.0
15,24,8.0
15,25,15.0
15,26,25.0
15,27,22.0
15,28,13.0
15,29,13.0
16,0,20.0
16,1,33.0
16,2,20.0
16,3,16.0
16,4,20.0
16,5,27.0
16,6,20.0
16,7,26.0
16,8,20.0
16,9,29.0
16,10,20.0
16,11,18.0
16,12,20.0
16,13,13.0
16,14,20.0
16,15,19.0
16,16,20.0
16,17,23.0
16,18,20.0
16,19,7.0
16,20,20.0
16,21,30.0
16,22,20.0
16,23,22.0
16,24,20.0
16,25,6.0
16,26,20.0
16,27,44.0
16,28,20.0
16,29,24.0
17,0,6.0
17,1,20.0
17,2,0.0
17,3,1.0
17,4,6.0
17,5,29.0
17,6,36.0
17,7,44.0
17,8,37.0
17,9,21.0
17,10,16.0
17,11,17.0
17,12,5.0
17,13,10.0
17,14,18.0
17,15,21.0
17,16,37.0
17,17,15.0
17,18,39.0
17,19,23.0
17,20,30.0
17,21,25.0
17,22,0.0
17,23,16.0
17,24,28.0
17,25,50.0
17,26,32.0
17,27,40.0
17,28,18.0
17,29,26.0
18,0,20.0
18,1,20.0
18,2,20.0
18,3,42.0
18,4,20.0
18,5,0.0
18,6,20.0
18,7,34.0
18,8,20.0
18,9,9.0
18,10,20.0
18,11,8.0
18,12,20.0
18,13,42.0
18,14,20.0
18,15,27.0
18,16,20.0
18,17,26.0
18,18,20.0
18,19,21.0
18,20,20.0
18,21,30.0
18,22,20.0
18,23,19.0
18,24,20.0
18,25,18.0
18,26,20.0
18,27,5.0
18,28,20.0
18,29,9.0
19,0,19.0
19,1,37.0
19,2,41.0
19,3,43.0
19,4,50.0
19,5,35.0
19,6,24.0
19,7,42.0
19,8,0.0
19,9,27.0
19,10,21.0
19,11,19.0
19,12,36.0
19,13,4.0
19,14,20.0
19,15,14.0
19,16,4.0
19,17,0.0
19,18,30.0
19,19,14.0
19,20,5.0
19,21,33.0
19,22,39.0
19,23,39.0
19,24,13.0
19,25,8.0
19,26,22.0
19,27,1.0
19,28,0.0
19,29,10.0
20,0,20.0
20,1,9.0
20,2,20.0
20,3,0.0
20,4,20.0
20,5,21.0
20,6,20.0
20,7,37.0
20,8,20.0
20,9,27.0
20,10,20.0
20,11,4.0
20,12,20.0
20,13,2.0
20,14,20.0
20,15,49.0
20,16,20.0
20,17,4.0
20,18,20.0
20,19,34.0
20,20,20.0
20,21,11.0
20,22,20.0
20,23,32.0
20,24,20.0
20,25,3.0
20,26,20.0
20,27,23.0
20,28,20.0
20,29,34.0
21,0,0.0
21,1,0.0
21,2,12.0
21,3,15.0
21,4,3.0
21,5,5.0
21,6,22.0
21,7,29.0
21,8,41.0
21,9,43.0
21,10,8.0
21,11,4.0
21,12,0.0
21,13,0.0
21,14,15.0
21,15,7.0
21,16,29.0
21,17,27.0
21,18,12.0
21,19,31.0
21,20,13.0
21,21,18.0
21,22,33.0
21,23,12.0
21,24,10.0
21,25,18.0
21,26,20.0
21,27,30.0
21,28,31.0
21,29,31.0
22,0,20.0
22,1,4.0
22,2,20.0
22,3,23.0
22,4,20.0
22,5,12.0
22,6,20.0
22,7,19.0
22,8,20.0
22,9,50.0
22,10,20.0
22,11,33.0
22,12,20.0
22,13,11.0
22,14,20.0
22,15,9.0
22,16,20.0
22,17,48.0
22,18,20.0
22,19,0.0
22,20,20.0
22,21,38.0
22,22,20.0
22,23,0.0
22,24,20.0
22,25,46.0
22,26,20.0
22,27,42.0
22,28,20.0
22,29,0.0
23,0,33.0
23,1,11.0
23,2,18.0
23,3,35.0
23,4,10.0
23,5,20.0
23,6,29.0
23,7,0.0
23,8,3.0
23,9,25.0
23,10,24.0
23,11,50.0
23,12,42.0
23,13,13.0
23,14,17.0
23,15,28.0
23,16,50.0
23,17,30.0
23,18,7.0
23,19,1.0
23,20,28.0
23,21,24.0
23,22,4.0
23,23,6.0
23,24,32.0
23,25,25.0
23,26,44.0
23,27,47.0
23,28,14.0
23,29,0.0
24,0,20.0
24,1,0.0
24,2,20.0
24,3,27.0
24,4,20.0
24,5,23.0
24,6,20.0
24,7,15.0
24,8,20.0
24,9,39.0
24,10,20.0
24,11,37.0
24,12,20.0
24,13,5.0
24,14,20.0
24,15,31.0
24,16,20.0
24,17,0.0
24,18,20.0
24,19,35.0
24,20,20.0
24,21,33.0
24,22,20.0
24,23,15.0
24,24,20.0
24,25,0.0
24,26,20.0
24,27,50.0
24,28,20.0
24,29,16.0
25,0,21.0
25,1,0.0
25,2,1.0
25,3,0.0
25,4,33.0
25,5,18.0
25,6,7.0
25,7,50.0
25,8,41.0
25,9,8.0
25,10,23.0
25,11,22.0
25,12,16.0
25,13,0.0
25,14,0.0
25,15,25.0
25,16,4.0
25,17,15.0
25,18,13.0
25,19,27.0
25,20,13.0
25,21,29.0
25,22,29.0
25,23,12.0
25,24,35.0
25,25,0.0
25,26,8.0
25,27,43.0
25,28,40.0
25,29,33.0
26,0,20.0
26,1,33.0
26,2,20.0
26,3,34.0
26,4,20.0
26,5,7.0
26,6,20.0
26,7,45.0
26,8,20.0
26,9,0.0
26,10,20.0
26,11,23.0
26,12,20.0
26,13,1.0
26,14,20.0
26,15,17.0
26,16,20.0
26,17,37.0
26,18,20.0
26,19,6.0
26,20,20.0
26,21,24.0
26,22,20.0
26,23,6.0
26,24,20.0
26,25,10.0
26,26,20.0
26,27,44.0
26,28,20.0
26,29,14.0
