Year,Month,EUR:US$
2000,1,0.99
2000,2,1.02
2000,3,1.04
2000,4,1.06
2000,5,1.10
2000,6,1.05
2000,7,1.07
2000,8,1.11
2000,9,1.15
2000,10,1.17
2000,11,1.17
2000,12,1.11
2001,1,1.07
2001,2,1.09
2001,3,1.10
2001,4,1.12
2001,5,1.14
2001,6,1.17
2001,7,1.16
2001,8,1.11
2001,9,1.10
2001,10,1.10
2001,11,1.13
2001,12,1.12
2002,1,1.13
2002,2,1.15
2002,3,1.14
2002,4,1.13
2002,5,1.09
2002,6,1.05
2002,7,1.01
2002,8,1.02
2002,9,1.02
2002,10,1.02
2002,11,1.00
2002,12,0.98
2003,1,0.94
2003,2,0.93
2003,3,0.93
2003,4,0.92
2003,5,0.87
2003,6,0.86
2003,7,0.88
2003,8,0.90
2003,9,0.89
2003,10,0.85
2003,11,0.85
2003,12,0.81
2004,1,0.79
2004,2,0.79
2004,3,0.82
2004,4,0.83
2004,5,0.83
2004,6,0.82
2004,7,0.81
2004,8,0.82
2004,9,0.82
2004,10,0.80
2004,11,0.77
2004,12,0.75
2005,1,0.76
2005,2,0.77
2005,3,0.76
2005,4,0.77
2005,5,0.79
2005,6,0.82
2005,7,0.83
2005,8,0.81
2005,9,0.82
2005,10,0.83
2005,11,0.85
2005,12,0.84
2006,1,0.82
2006,2,0.84
2006,3,0.83
2006,4,0.81
2006,5,0.78
2006,6,0.79
2006,7,0.79
2006,8,0.78
2006,9,0.79
2006,10,0.79
2006,11,0.78
2006,12,0.76
2007,1,0.77
2007,2,0.77
2007,3,0.76
2007,4,0.74
2007,5,0.74
2007,6,0.74
2007,7,0.73
2007,8,0.73
2007,9,0.72
2007,10,0.70
2007,11,0.68
2007,12,0.69
2008,1,0.68
2008,2,0.68
2008,3,0.64
2008,4,0.64
2008,5,0.64
2008,6,0.64
2008,7,0.64
2008,8,0.67
2008,9,0.70
2008,10,0.76
2008,11,0.79
2008,12,0.74
2009,1,0.76
2009,2,0.78
2009,3,0.77
2009,4,0.76
2009,5,0.73
2009,6,0.71
2009,7,0.71
2009,8,0.70
2009,9,0.69
2009,10,0.68
2009,11,0.67
2009,12,0.69
2010,1,0.70
2010,2,0.73
2010,3,0.74
2010,4,0.74
2010,5,0.80
2010,6,0.82
2010,7,0.78
2010,8,0.78
2010,9,0.76
2010,10,0.72
2010,11,0.73
2010,12,0.76
2011,1,0.75
2011,2,0.73
2011,3,0.71
2011,4,0.69
2011,5,0.70
2011,6,0.69
2011,7,0.70
2011,8,0.70
2011,9,0.73
2011,10,0.73
2011,11,0.74
2011,12,0.76
2012,1,0.78
2012,2,0.76
2012,3,0.76
2012,4,0.76
2012,5,0.78
2012,6,0.80
2012,7,0.81
2012,8,0.81
2012,9,0.78
2012,10,0.77
2012,11,0.78
2012,12,0.76
2013,1,0.75
2013,2,0.75
2013,3,0.77
2013,4,0.77
2013,5,0.77
2013,6,0.76
2013,7,0.76
2013,8,0.75
2013,9,0.75
2013,10,0.73
2013,11,0.74
2013,12,0.73
2014,1,0.73
2014,2,0.73
2014,3,0.72
2014,4,0.72
2014,5,0.73
2014,6,0.74
2014,7,0.74
2014,8,0.75
2014,9,0.78
2014,10,0.79
2014,11,0.80
2014,12,0.81
2015,1,0.86
2015,2,0.88
2015,3,0.93
2015,4,0.92
2015,5,0.90
2015,6,0.89
2015,7,0.91
2015,8,0.90
2015,9,0.89
2015,10,0.89
2015,11,0.93
2015,12,0.92
2016,1,0.92
2016,2,0.90
2016,3,0.90
2016,4,0.88
2016,5,0.88
2016,6,0.89
2016,7,0.91
2016,8,0.89
2016,9,0.89
2016,10,0.91
2016,11,0.93
2016,12,0.95
2017,1,0.94
2017,2,0.94
2017,3,0.94
2017,4,0.93
2017,5,0.91
2017,6,0.89
2017,7,0.87
2017,8,0.85
2017,9,0.84
2017,10,0.85
2017,11,0.85
2017,12,0.84
2018,1,0.82
2018,2,0.81
2018,3,0.81
2018,4,0.81
2018,5,0.85
2018,6,0.86
2018,7,0.86
2018,8,0.87
2018,9,0.86
2018,10,0.87
2018,11,0.88
2018,12,0.88
2019,1,0.88
2019,2,0.88
2019,3,0.89
2019,4,0.89
2019,5,0.89
2019,6,0.89
2019,7,0.89
2019,8,0.90
2019,9,0.91
2019,10,0.90
2019,11,0.91
2019,12,0.90
