Month,Price,Year
JAN,3.45,1997
FEB,2.15,1997
MAR,1.89,1997
APR,2.03,1997
MAY,2.25,1997
JUN,2.2,1997
JUL,2.19,1997
AUG,2.49,1997
SEP,2.88,1997
OCT,3.07,1997
NOV,3.01,1997
DEC,2.35,1997
JAN,2.09,1998
FEB,2.23,1998
MAR,2.24,1998
APR,2.43,1998
MAY,2.14,1998
JUN,2.17,1998
JUL,2.17,1998
AUG,1.85,1998
SEP,2.02,1998
OCT,1.91,1998
NOV,2.12,1998
DEC,1.72,1998
JAN,1.85,1999
FEB,1.77,1999
MAR,1.79,1999
APR,2.15,1999
MAY,2.26,1999
JUN,2.3,1999
JUL,2.31,1999
AUG,2.8,1999
SEP,2.55,1999
OCT,2.73,1999
NOV,2.37,1999
DEC,2.36,1999
JAN,2.42,2000
FEB,2.66,2000
MAR,2.79,2000
APR,3.04,2000
MAY,3.59,2000
JUN,4.29,2000
JUL,3.99,2000
AUG,4.43,2000
SEP,5.06,2000
OCT,5.02,2000
NOV,5.52,2000
DEC,8.9,2000
JAN,8.17,2001
FEB,5.61,2001
MAR,5.23,2001
APR,5.19,2001
MAY,4.19,2001
JUN,3.72,2001
JUL,3.11,2001
AUG,2.97,2001
SEP,2.19,2001
OCT,2.46,2001
NOV,2.34,2001
DEC,2.3,2001
JAN,2.32,2002
FEB,2.32,2002
MAR,3.03,2002
APR,3.43,2002
MAY,3.5,2002
JUN,3.26,2002
JUL,2.99,2002
AUG,3.09,2002
SEP,3.55,2002
OCT,4.13,2002
NOV,4.04,2002
DEC,4.74,2002
JAN,5.43,2003
FEB,7.71,2003
MAR,5.93,2003
APR,5.26,2003
MAY,5.81,2003
JUN,5.82,2003
JUL,5.03,2003
AUG,4.99,2003
SEP,4.62,2003
OCT,4.63,2003
NOV,4.47,2003
DEC,6.13,2003
JAN,6.14,2004
FEB,5.37,2004
MAR,5.39,2004
APR,5.71,2004
MAY,6.33,2004
JUN,6.27,2004
JUL,5.93,2004
AUG,5.41,2004
SEP,5.15,2004
OCT,6.35,2004
NOV,6.17,2004
DEC,6.58,2004
JAN,6.15,2005
FEB,6.14,2005
MAR,6.96,2005
APR,7.16,2005
MAY,6.47,2005
JUN,7.18,2005
JUL,7.63,2005
AUG,9.53,2005
SEP,11.75,2005
OCT,13.42,2005
NOV,10.3,2005
DEC,13.05,2005
JAN,8.69,2006
FEB,7.54,2006
MAR,6.89,2006
APR,7.16,2006
MAY,6.25,2006
JUN,6.21,2006
JUL,6.17,2006
AUG,7.14,2006
SEP,4.9,2006
OCT,5.85,2006
NOV,7.41,2006
DEC,6.73,2006
JAN,6.55,2007
FEB,8.0,2007
MAR,7.11,2007
APR,7.59,2007
MAY,7.64,2007
JUN,7.35,2007
JUL,6.22,2007
AUG,6.22,2007
SEP,6.08,2007
OCT,6.74,2007
NOV,7.1,2007
DEC,7.11,2007
JAN,7.99,2008
FEB,8.54,2008
MAR,9.41,2008
APR,10.18,2008
MAY,11.27,2008
JUN,12.69,2008
JUL,11.09,2008
AUG,8.26,2008
SEP,7.67,2008
OCT,6.74,2008
NOV,6.68,2008
DEC,5.82,2008
JAN,5.24,2009
FEB,4.52,2009
MAR,3.96,2009
APR,3.5,2009
MAY,3.83,2009
JUN,3.8,2009
JUL,3.38,2009
AUG,3.14,2009
SEP,2.99,2009
OCT,4.01,2009
NOV,3.66,2009
DEC,5.35,2009
JAN,5.83,2010
FEB,5.32,2010
MAR,4.29,2010
APR,4.03,2010
MAY,4.14,2010
JUN,4.8,2010
JUL,4.63,2010
AUG,4.32,2010
SEP,3.89,2010
OCT,3.43,2010
NOV,3.71,2010
DEC,4.25,2010
JAN,4.49,2011
FEB,4.09,2011
MAR,3.97,2011
APR,4.24,2011
MAY,4.31,2011
JUN,4.54,2011
JUL,4.42,2011
AUG,4.06,2011
SEP,3.9,2011
OCT,3.57,2011
NOV,3.24,2011
DEC,3.17,2011
JAN,2.67,2012
FEB,2.51,2012
MAR,2.17,2012
APR,1.95,2012
MAY,2.43,2012
JUN,2.46,2012
JUL,2.95,2012
AUG,2.84,2012
SEP,2.85,2012
OCT,3.32,2012
NOV,3.54,2012
DEC,3.34,2012
JAN,3.33,2013
FEB,3.33,2013
MAR,3.81,2013
APR,4.17,2013
MAY,4.04,2013
JUN,3.83,2013
JUL,3.62,2013
AUG,3.43,2013
SEP,3.62,2013
OCT,3.68,2013
NOV,3.64,2013
DEC,4.24,2013
JAN,4.71,2014
FEB,6.0,2014
MAR,4.9,2014
APR,4.66,2014
MAY,4.58,2014
JUN,4.59,2014
JUL,4.05,2014
AUG,3.91,2014
SEP,3.92,2014
OCT,3.78,2014
NOV,4.12,2014
DEC,3.48,2014
JAN,2.99,2015
FEB,2.87,2015
MAR,2.83,2015
APR,2.61,2015
MAY,2.85,2015
JUN,2.78,2015
JUL,2.84,2015
AUG,2.77,2015
SEP,2.66,2015
OCT,2.34,2015
NOV,2.09,2015
DEC,1.93,2015
JAN,2.28,2016
FEB,1.99,2016
MAR,1.73,2016
APR,1.92,2016
MAY,1.92,2016
JUN,2.59,2016
JUL,2.82,2016
AUG,2.82,2016
SEP,2.99,2016
OCT,2.98,2016
NOV,2.55,2016
DEC,3.59,2016
JAN,3.3,2017
FEB,2.85,2017
MAR,2.88,2017
APR,3.1,2017
MAY,3.15,2017
JUN,2.98,2017
JUL,2.98,2017
AUG,2.9,2017
SEP,2.98,2017
OCT,2.88,2017
NOV,3.01,2017
DEC,2.82,2017
JAN,3.87,2018
FEB,2.67,2018
MAR,2.69,2018
APR,2.8,2018
MAY,2.8,2018
JUN,2.97,2018
JUL,2.83,2018
AUG,2.96,2018
SEP,3.0,2018
OCT,3.28,2018
NOV,4.09,2018
DEC,4.04,2018
JAN,3.11,2019
FEB,2.69,2019
MAR,2.95,2019
APR,2.65,2019
MAY,2.64,2019
JUN,2.4,2019
JUL,2.37,2019
AUG,2.22,2019
SEP,2.56,2019
OCT,2.33,2019
NOV,2.65,2019
DEC,2.22,2019
