date,pressure,temperature,wind,hour
2010-01-01,1017.1,4.1,3.8,00
2010-01-01,1016.6,4.0,3.8,01
2010-01-01,1016.6,3.9,3.8,02
2010-01-01,1016.7,3.8,3.8,03
2010-01-01,1016.7,3.8,3.7,04
2010-01-01,1016.5,3.7,3.8,05
2010-01-01,1016.4,3.7,3.8,06
2010-01-01,1016.5,3.7,3.9,07
2010-01-01,1016.6,3.7,3.9,08
2010-01-01,1017.0,4.0,3.9,09
2010-01-01,1017.4,4.5,3.9,10
2010-01-01,1017.4,5.2,3.9,11
2010-01-01,1017.1,5.8,4.0,12
2010-01-01,1016.7,6.2,4.1,13
2010-01-01,1016.4,6.4,4.2,14
2010-01-01,1016.3,6.3,4.1,15
2010-01-01,1016.4,5.9,4.0,16
2010-01-01,1016.5,5.4,4.1,17
2010-01-01,1016.4,5.1,4.2,18
2010-01-01,1016.4,4.9,4.1,19
2010-01-01,1016.4,4.8,4.2,20
2010-01-01,1016.5,4.7,4.1,21
2010-01-01,1016.5,4.6,4.0,22
2010-01-01,1016.5,4.4,4.0,23
2010-01-02,1017.1,4.1,3.8,00
2010-01-02,1016.5,4.1,3.8,01
2010-01-02,1016.4,4.1,3.8,02
2010-01-02,1016.6,3.9,3.8,03
2010-01-02,1016.5,3.9,3.7,04
2010-01-02,1016.3,3.8,3.8,05
2010-01-02,1016.3,3.9,3.8,06
2010-01-02,1016.4,3.8,3.8,07
2010-01-02,1016.5,3.8,3.9,08
2010-01-02,1016.9,4.2,4.0,09
2010-01-02,1017.3,4.7,3.9,10
2010-01-02,1017.3,5.3,3.9,11
2010-01-02,1017.0,5.9,4.0,12
2010-01-02,1016.6,6.3,4.1,13
2010-01-02,1016.3,6.5,4.2,14
2010-01-02,1016.3,6.4,4.1,15
2010-01-02,1016.4,6.1,4.0,16
2010-01-02,1016.5,5.5,4.2,17
2010-01-02,1016.5,5.2,4.2,18
2010-01-02,1016.4,5.1,4.2,19
2010-01-02,1016.4,4.9,4.2,20
2010-01-02,1016.5,4.8,4.0,21
2010-01-02,1016.5,4.7,4.1,22
2010-01-02,1016.5,4.5,4.1,23
2010-01-03,1017.1,4.3,3.8,00
2010-01-03,1016.5,4.2,3.8,01
2010-01-03,1016.5,4.2,3.8,02
2010-01-03,1016.6,4.1,3.8,03
2010-01-03,1016.6,4.0,3.8,04
2010-01-03,1016.4,3.9,3.8,05
2010-01-03,1016.3,3.9,3.9,06
2010-01-03,1016.4,3.9,3.9,07
2010-01-03,1016.5,3.9,3.9,08
2010-01-03,1016.9,4.3,4.0,09
2010-01-03,1017.3,4.8,4.0,10
2010-01-03,1017.4,5.4,3.9,11
2010-01-03,1017.0,6.1,4.0,12
2010-01-03,1016.6,6.5,4.2,13
2010-01-03,1016.3,6.7,4.2,14
2010-01-03,1016.3,6.6,4.2,15
2010-01-03,1016.4,6.2,4.1,16
2010-01-03,1016.5,5.7,4.2,17
2010-01-03,1016.5,5.3,4.2,18
2010-01-03,1016.4,5.2,4.2,19
2010-01-03,1016.5,5.1,4.2,20
2010-01-03,1016.5,4.9,4.1,21
2010-01-03,1016.5,4.8,4.1,22
2010-01-03,1016.6,4.6,4.0,23
2010-01-04,1017.1,4.4,3.8,00
2010-01-04,1016.6,4.3,3.8,01
2010-01-04,1016.6,4.2,3.8,02
2010-01-04,1016.8,4.2,3.8,03
2010-01-04,1016.7,4.1,3.8,04
2010-01-04,1016.6,4.0,3.8,05
2010-01-04,1016.5,4.1,3.8,06
2010-01-04,1016.6,4.0,3.8,07
2010-01-04,1016.8,4.0,3.9,08
2010-01-04,1017.1,4.3,4.0,09
2010-01-04,1017.5,4.9,4.0,10
2010-01-04,1017.6,5.5,4.0,11
2010-01-04,1017.3,6.1,4.1,12
2010-01-04,1016.8,6.5,4.1,13
2010-01-04,1016.5,6.7,4.2,14
2010-01-04,1016.5,6.7,4.2,15
2010-01-04,1016.6,6.3,4.1,16
2010-01-04,1016.7,5.7,4.2,17
2010-01-04,1016.7,5.4,4.2,18
2010-01-04,1016.7,5.3,4.2,19
2010-01-04,1016.7,5.2,4.2,20
2010-01-04,1016.7,5.0,4.1,21
2010-01-04,1016.8,4.9,4.1,22
2010-01-04,1016.8,4.7,4.1,23
2010-01-05,1017.3,4.5,3.8,00
2010-01-05,1016.8,4.4,3.8,01
2010-01-05,1016.8,4.3,3.8,02
2010-01-05,1017.0,4.3,3.8,03
2010-01-05,1016.9,4.2,3.8,04
2010-01-05,1016.8,4.1,3.8,05
2010-01-05,1016.6,4.1,3.8,06
2010-01-05,1016.8,4.1,3.8,07
2010-01-05,1016.9,4.1,3.9,08
2010-01-05,1017.3,4.4,4.0,09
2010-01-05,1017.6,5.0,4.0,10
2010-01-05,1017.7,5.6,4.0,11
2010-01-05,1017.4,6.3,4.1,12
2010-01-05,1016.9,6.6,4.2,13
2010-01-05,1016.6,6.8,4.2,14
2010-01-05,1016.6,6.8,4.2,15
2010-01-05,1016.7,6.4,4.1,16
2010-01-05,1016.8,5.9,4.2,17
2010-01-05,1016.8,5.6,4.2,18
2010-01-05,1016.8,5.4,4.2,19
2010-01-05,1016.8,5.3,4.2,20
2010-01-05,1016.9,5.2,4.0,21
2010-01-05,1017.0,5.1,4.1,22
2010-01-05,1017.0,4.9,4.0,23
2010-01-06,1017.4,4.7,3.8,00
2010-01-06,1017.1,4.6,3.8,01
2010-01-06,1017.1,4.5,3.8,02
2010-01-06,1017.3,4.4,3.8,03
2010-01-06,1017.2,4.3,3.8,04
2010-01-06,1017.1,4.2,3.8,05
2010-01-06,1017.0,4.2,3.8,06
2010-01-06,1017.2,4.2,3.8,07
2010-01-06,1017.2,4.2,3.8,08
2010-01-06,1017.6,4.6,4.0,09
2010-01-06,1018.0,5.1,3.9,10
2010-01-06,1018.1,5.7,4.0,11
2010-01-06,1017.7,6.4,4.1,12
2010-01-06,1017.3,6.8,4.1,13
2010-01-06,1017.0,7.0,4.2,14
2010-01-06,1016.9,6.9,4.2,15
2010-01-06,1017.1,6.6,4.1,16
2010-01-06,1017.1,5.9,4.2,17
2010-01-06,1017.1,5.7,4.2,18
2010-01-06,1017.1,5.5,4.2,19
2010-01-06,1017.1,5.4,4.2,20
2010-01-06,1017.2,5.2,4.1,21
2010-01-06,1017.2,5.1,4.1,22
2010-01-06,1017.3,4.9,4.0,23
2010-01-07,1017.5,4.7,3.7,00
2010-01-07,1017.2,4.7,3.8,01
2010-01-07,1017.3,4.6,3.8,02
2010-01-07,1017.4,4.4,3.8,03
2010-01-07,1017.4,4.3,3.8,04
2010-01-07,1017.2,4.2,3.8,05
2010-01-07,1017.1,4.3,3.8,06
2010-01-07,1017.3,4.3,3.8,07
2010-01-07,1017.4,4.3,3.9,08
2010-01-07,1017.7,4.6,4.0,09
2010-01-07,1018.1,5.2,4.0,10
2010-01-07,1018.2,5.8,4.0,11
2010-01-07,1017.8,6.4,4.1,12
2010-01-07,1017.4,6.8,4.1,13
2010-01-07,1017.1,7.1,4.2,14
2010-01-07,1017.1,6.9,4.2,15
2010-01-07,1017.2,6.6,4.1,16
2010-01-07,1017.3,6.0,4.2,17
2010-01-07,1017.3,5.7,4.2,18
2010-01-07,1017.3,5.5,4.2,19
2010-01-07,1017.3,5.4,4.2,20
2010-01-07,1017.4,5.2,4.1,21
2010-01-07,1017.5,5.1,4.1,22
2010-01-07,1017.6,4.9,4.0,23
2010-01-08,1017.7,4.8,3.7,00
2010-01-08,1017.5,4.7,3.8,01
2010-01-08,1017.6,4.6,3.8,02
2010-01-08,1017.7,4.4,3.8,03
2010-01-08,1017.6,4.3,3.8,04
2010-01-08,1017.5,4.2,3.7,05
2010-01-08,1017.4,4.3,3.8,06
2010-01-08,1017.5,4.2,3.8,07
2010-01-08,1017.6,4.2,3.8,08
2010-01-08,1018.0,4.6,4.0,09
2010-01-08,1018.3,5.2,3.9,10
2010-01-08,1018.4,5.8,4.0,11
2010-01-08,1018.1,6.4,4.1,12
2010-01-08,1017.6,6.8,4.1,13
2010-01-08,1017.4,7.1,4.2,14
2010-01-08,1017.3,7.0,4.2,15
2010-01-08,1017.5,6.6,4.1,16
2010-01-08,1017.5,6.0,4.1,17
2010-01-08,1017.5,5.7,4.2,18
2010-01-08,1017.5,5.6,4.2,19
2010-01-08,1017.5,5.4,4.2,20
2010-01-08,1017.6,5.2,4.0,21
2010-01-08,1017.7,5.1,4.1,22
2010-01-08,1017.8,4.9,3.9,23
2010-01-09,1017.8,4.8,3.7,00
2010-01-09,1017.7,4.6,3.8,01
2010-01-09,1017.8,4.5,3.8,02
2010-01-09,1018.0,4.4,3.7,03
2010-01-09,1017.9,4.3,3.8,04
2010-01-09,1017.8,4.2,3.7,05
2010-01-09,1017.6,4.2,3.8,06
2010-01-09,1017.8,4.2,3.8,07
2010-01-09,1017.9,4.2,3.8,08
2010-01-09,1018.2,4.5,3.9,09
2010-01-09,1018.6,5.1,3.8,10
2010-01-09,1018.7,5.8,3.9,11
2010-01-09,1018.4,6.4,4.0,12
2010-01-09,1017.9,6.8,4.1,13
2010-01-09,1017.6,7.1,4.1,14
2010-01-09,1017.6,7.0,4.2,15
2010-01-09,1017.7,6.7,4.1,16
2010-01-09,1017.8,6.0,4.1,17
2010-01-09,1017.8,5.7,4.2,18
2010-01-09,1017.7,5.6,4.1,19
2010-01-09,1017.8,5.4,4.2,20
2010-01-09,1017.9,5.2,4.0,21
2010-01-09,1017.9,5.1,4.1,22
2010-01-09,1018.1,4.9,4.0,23
2010-01-10,1017.9,4.8,3.8,00
2010-01-10,1018.0,4.6,3.8,01
2010-01-10,1018.1,4.5,3.7,02
2010-01-10,1018.3,4.4,3.7,03
2010-01-10,1018.2,4.2,3.7,04
2010-01-10,1018.1,4.1,3.7,05
2010-01-10,1017.9,4.2,3.7,06
2010-01-10,1018.1,4.2,3.7,07
2010-01-10,1018.1,4.2,3.8,08
2010-01-10,1018.5,4.5,3.8,09
2010-01-10,1018.9,5.1,3.8,10
2010-01-10,1019.0,5.7,3.9,11
2010-01-10,1018.6,6.4,4.0,12
2010-01-10,1018.1,6.8,4.1,13
